country,designation,points,price,price_GBP
Chile,Casa La Joya Reserve,88,11.0,13.2
Chile,Natura,87,11.0,13.2
Italy,Campole,87,26.0,31.2
Australia,The Trial of John Montford,87,30.0,36.0
Italy,Le Pietre Santambrogio,87,20.0,24.0
France,,87,35.0,42.0
Italy,,87,,
Italy,Riserva,87,35.0,42.0
Italy,Pancole,87,18.0,21.599999999999998
South Africa,21 Gables,90,23.0,27.599999999999998
US,Four Soil Mélange,90,60.0,72.0
US,Rising Starr Estate Bottled,90,28.0,33.6
Italy,Riserva,90,,
Italy,Nova Domus Riserva,90,62.0,74.39999999999999
Israel,,90,50.0,60.0
Portugal,Montes Claros Garrafeira,90,28.0,33.6
US,Gesture,90,30.0,36.0
US,October Night,90,25.0,30.0
US,,90,25.0,30.0
US,Home Ranch Teldeschi Vineyards Century Old Vine,90,32.0,38.4
South Africa,Reserve,90,40.0,48.0
France,,90,16.0,19.2
South Africa,,90,20.0,24.0
France,Les Christins,90,32.0,38.4
Spain,Fermentado en Barrica,90,40.0,48.0
US,1105,90,48.0,57.599999999999994
US,Verah,90,36.0,43.199999999999996
Israel,French Blend,90,80.0,96.0
Italy,,90,57.0,68.39999999999999
Portugal,,90,20.0,24.0
US,,90,20.0,24.0
Hungary,Megyer Dry,90,36.0,43.199999999999996
US,,90,40.0,48.0
Italy,Passion Riserva,90,40.0,48.0
Italy,Trentennale,90,,
Italy,,90,,
Argentina,Lunta,90,22.0,26.4
South Africa,,90,25.0,30.0
South Africa,,90,20.0,24.0
US,Grace House,85,15.0,18.0
US,Semi-Dry,85,14.0,16.8
US,Costa Del Sol,85,18.0,21.599999999999998
US,,85,16.0,19.2
Argentina,,85,10.0,12.0
Australia,Red Belly Black,85,12.0,14.399999999999999
US,Reserve,85,28.0,33.6
Italy,Cerasuolo Rosè,85,10.0,12.0
US,Thompson Vineyard,85,49.0,58.8
US,Kiss Ridge Vineyard,85,85.0,102.0
Italy,,85,18.0,21.599999999999998
Australia,The Derelict Vineyard,85,29.0,34.8
US,,85,36.0,43.199999999999996
France,,85,9.0,10.799999999999999
US,,85,34.0,40.8
US,Reserve Selection,85,15.0,18.0
US,Blanc de Blanc,85,30.0,36.0
Spain,Herederos de François Lurton Villafrance de Duero,85,13.0,15.6
Argentina,Reserve,85,12.0,14.399999999999999
Australia,Destinations,85,15.0,18.0
US,Reserve,85,25.0,30.0
US,Estate Single Vineyard,85,45.0,54.0
US,Petit Verdot-Merlot,85,18.0,21.599999999999998
US,Estate,85,49.0,58.8
US,Papillon Estate,85,22.0,26.4
US,Seity,85,35.0,42.0
Argentina,Reserve,85,15.0,18.0
US,,89,45.0,54.0
US,Reserva,89,55.0,66.0
South Africa,Goat-Roti,89,20.0,24.0
South Africa,The William,89,18.0,21.599999999999998
South Africa,,89,35.0,42.0
France,Noir 46,89,13.0,15.6
US,Estate,89,40.0,48.0
Argentina,Estate Blend Gran Reserva,89,37.0,44.4
US,Fairytale,89,39.0,46.8
US,Monument,89,60.0,72.0
South Africa,,89,19.0,22.8
South Africa,Nine Yards,89,40.0,48.0
Argentina,Corte Malbec-Bonarda-Petit Verdot,89,14.0,16.8
Italy,Torre di Giano Vigna il Pino,89,40.0,48.0
Italy,Terso,89,36.0,43.199999999999996
Austria,,89,17.0,20.4
Italy,,89,25.0,30.0
Greece,,89,15.0,18.0
Italy,Sirmian,89,26.0,31.2
Argentina,B Crux,89,19.0,22.8
Italy,Estrosa,89,13.0,15.6
Argentina,Reserva de Familia,89,30.0,36.0
US,Old Vines,89,20.0,24.0
US,,89,30.0,36.0
US,Bishop Creek,89,50.0,60.0
Italy,,89,52.0,62.4
Austria,Schiefer Reserve,92,24.0,28.799999999999997
US,Bench Break Vineyard,92,34.0,40.8
Italy,Dulcamara,92,41.0,49.199999999999996
US,Bella Vida Vineyard Unfiltered,92,52.0,62.4
Argentina,Marchiori Vineyard Block C2,92,215.0,258.0
Austria,Steiner Kögl Erste Lage,92,,
US,Rincon Vineyard,92,60.0,72.0
Spain,Braó Vinyes Velles,92,40.0,48.0
Austria,Kremser Gebling Erste Lage,92,,
US,Fortune Teller,92,125.0,150.0
France,,92,,
Italy,,92,,
France,Vin Jaune,92,45.0,54.0
Australia,Green's Vineyard,92,70.0,84.0
Argentina,Synthesis,92,30.0,36.0
US,Treana Red,87,35.0,42.0
Chile,Grey [Glacier] Single Block Trinidad Vineyard,87,20.0,24.0
US,,87,15.0,18.0
Chile,,87,19.0,22.8
Italy,Pinay,87,,
US,Estate,87,28.0,33.6
US,Whiteline No Oak,87,14.0,16.8
Italy,,87,,
Italy,4 Vigne,87,56.0,67.2
Italy,Vignassa,87,,
US,,87,24.0,28.799999999999997
Romania,,87,7.0,8.4
France,Les Dames Huguettes,87,30.0,36.0
Greece,Asirtiko Athiri,87,18.0,21.599999999999998
Italy,,87,20.0,24.0
Italy,,87,18.0,21.599999999999998
New Zealand,,87,18.0,21.599999999999998
US,,87,40.0,48.0
Italy,,87,,
US,,87,28.0,33.6
Italy,Extra Dry,86,15.0,18.0
France,Les Amants Mont-Pérat,86,,
France,,86,,
Chile,Reserva,86,18.0,21.599999999999998
Italy,Millesimato Brut,86,20.0,24.0
Italy,Col di Manza Extra Dry Millesimato,86,22.0,26.4
Italy,Brut,86,16.0,19.2
Italy,Millesimato Dry,86,18.0,21.599999999999998
Chile,Gran Araucano,86,35.0,42.0
Italy,Matiú Brut,86,12.0,14.399999999999999
US,,86,11.0,13.2
Italy,Extra Dry,86,15.0,18.0
Chile,Legado Reserva,86,18.0,21.599999999999998
US,Alluvium Blanc,86,16.0,19.2
US,Reserve,86,34.0,40.8
US,Lila's Cuvée,86,40.0,48.0
Chile,Visión,86,15.0,18.0
Italy,Palazzo Rosso Brut,86,19.0,22.8
Italy,Col del Sas Extra Dry,86,18.0,21.599999999999998
France,Mosaïque Rosé Brut,86,42.0,50.4
Italy,Arió Extra Dry,86,15.0,18.0
Chile,Costa,83,35.0,42.0
France,,83,16.0,19.2
France,,82,11.0,13.2
Spain,1887 Rosado,82,13.0,15.6
France,Tradition,82,18.0,21.599999999999998
US,Serracino Reserve,82,48.0,57.599999999999994
Spain,,82,11.0,13.2
Chile,Grand Reserve,81,20.0,24.0
Chile,Gran Reserva,80,19.0,22.8
Australia,Rare,100,350.0,420.0
Australia,Rare,98,350.0,420.0
Germany,Kiedrich Gräfenberg Trockenbeerenauslese,97,775.0,930.0
Australia,Grand,97,100.0,120.0
Australia,RunRig,97,225.0,270.0
Italy,Vignolo Riserva,97,150.0,180.0
Hungary,Eszencia,96,320.0,384.0
US,South River,96,68.0,81.6
France,Le Montrachet,96,630.0,756.0
Germany,Kiedrich Gräfenberg Beerenauslese,96,365.0,438.0
US,Sweetwater,96,68.0,81.6
Australia,Georgia's Paddock,95,85.0,102.0
France,Vieilles Vignes,95,350.0,420.0
Germany,Hattenheimer Hassel Auslese,95,66.0,79.2
France,Les Chenevottes Premier Cru,95,110.0,132.0
Australia,Descendant,95,125.0,150.0
Italy,Simposio,95,60.0,72.0
US,Jamie,95,200.0,240.0
France,,95,380.0,456.0
US,Weber Vineyard,95,48.0,57.599999999999994
Australia,St. Andrews Single Vineyard Release,95,60.0,72.0
Italy,Vorberg,88,21.0,25.2
Chile,Reserva de la Familia,88,10.0,12.0
Italy,,88,11.0,13.2
Italy,,88,21.0,25.2
US,Cherryblock Vineyard,88,160.0,192.0
Italy,Castel Ringberg,88,23.0,27.599999999999998
Italy,Classico,88,10.0,12.0
Italy,I Fiori del Borgo,88,15.0,18.0
US,Kathleen's Vineyard,88,19.0,22.8
Italy,Vino in Musica,88,40.0,48.0
Italy,Zuc de Volpe,88,18.0,21.599999999999998
Greece,Vigneto Massoni,88,,
Mexico,Private Reserve,88,18.0,21.599999999999998
Italy,Bianco dei Sorni,88,15.0,18.0
Chile,Estate Bottled,88,12.0,14.399999999999999
Italy,Vigne Alte,88,11.0,13.2
Chile,Estate Grown Reserve,88,15.0,18.0
Italy,Vigneto Santa Cecilia,88,9.0,10.799999999999999
Italy,Sanct Valentin,88,30.0,36.0
US,,88,18.0,21.599999999999998
US,Windacre Vineyard,88,34.0,40.8
US,Reserve Fume,88,17.0,20.4
US,Paragon Vineyard,88,25.0,30.0
Italy,Terlano Classico,88,15.0,18.0
Chile,Reserve,88,12.0,14.399999999999999
Chile,Reserve,88,14.0,16.8
US,,87,12.0,14.399999999999999
Chile,Castillo de Molina Reserva,87,11.0,13.2
Chile,Reserva,87,12.0,14.399999999999999
Italy,Rylint,87,,
US,Ancient Vines,85,16.0,19.2
Chile,Visión,85,15.0,18.0
Chile,Estate Selection,85,13.0,15.6
Italy,Extra Dry,85,24.0,28.799999999999997
Italy,Brut,85,13.0,15.6
Italy,Millesimato Extra Dry,85,19.0,22.8
Chile,Casa la Joya Reserve,85,11.0,13.2
US,Le Bon Viveur,85,15.0,18.0
US,White Hawk Vineyard,85,45.0,54.0
Italy,Extra Dry,85,19.0,22.8
France,Brut Mosaïque,85,30.0,36.0
Chile,Casa,85,14.0,16.8
Italy,Millesimato Extra Dry,85,15.0,18.0
US,Dry,85,20.0,24.0
US,,85,20.0,24.0
US,Split Oak Vineyard,85,12.0,14.399999999999999
Italy,Canah Brut,85,20.0,24.0
Italy,,85,13.0,15.6
Italy,Stefany Extra Dry,85,16.0,19.2
US,,85,14.0,16.8
Italy,Extra Dry,85,14.0,16.8
Italy,,85,,
Austria,Biokult Zweigelt Pinot Noir,85,,
France,,89,20.0,24.0
France,,89,,
US,Confidential Source,89,30.0,36.0
US,Blue Mountain Vineyard,89,20.0,24.0
Austria,Kittl,89,23.0,27.599999999999998
US,Verdigris,89,30.0,36.0
US,Bridge Lane,89,18.0,21.599999999999998
Spain,Seis,89,18.0,21.599999999999998
US,Cuvée Gabriella Brut Rosé,89,35.0,42.0
Austria,Crazy Creatures,89,17.0,20.4
US,The Estates Clifton Hill Vineyard,89,42.0,50.4
US,McGinley Vineyard,89,30.0,36.0
US,Indie,89,24.0,28.799999999999997
US,Upland Vineyard,89,16.0,19.2
US,Stepping Stones,89,27.0,32.4
Italy,Rocche dell'Annunziata,89,89.0,106.8
Austria,Lage Modler,89,,
Italy,Gold Label,89,15.0,18.0
US,Henry's Blend,89,54.0,64.8
Spain,Século,89,15.0,18.0
Spain,Marqués de Montejos Selección,89,42.0,50.4
US,,89,38.0,45.6
Austria,Rosé,89,12.0,14.399999999999999
US,Caya,89,35.0,42.0
US,Estate Grown,88,32.0,38.4
Austria,Altweingarten,88,12.0,14.399999999999999
Italy,Vigorosa Rosato,88,28.0,33.6
US,,88,20.0,24.0
France,Domaine de la Vieille Cure Sur Lie,88,14.0,16.8
France,Domaine de la Becassonne,88,19.0,22.8
Italy,Pas Dosé Aligi Sassu,92,39.0,46.8
France,Classe M,92,,
Italy,Messaggero,92,35.0,42.0
France,Les Tillets,92,,
France,Brut Prestige,92,69.0,82.8
Canada,Reserve Icewine,92,30.0,36.0
US,Reserve,92,40.0,48.0
US,Brut,92,23.0,27.599999999999998
US,Solomon Hills Vineyard,92,45.0,54.0
Italy,Gran Cuvée Pas Operé,92,50.0,60.0
France,Tzarina No 1 Brut,92,100.0,120.0
US,Ridgecrest Vineyards,92,50.0,60.0
US,Stoller Vineyards,92,29.0,34.8
France,Blagny Premier Cru,92,66.0,79.2
France,Cuvée Marguerite Brut,92,60.0,72.0
Germany,Westhofen Morstein GG Trocken,92,115.0,138.0
Italy,Morar,92,69.0,82.8
France,Blanc de Blancs Brut,92,,
US,Evenstad Reserve,92,65.0,78.0
Germany,Ürziger Würzgarten Alte Reben GG Trocken,92,42.0,50.4
Germany,Wehlener Sonnenuhr Kabinett,92,27.0,32.4
France,Édition Limitée Extra Brut,92,70.0,84.0
France,Les Chatelots Premier Cru,92,73.0,87.6
France,Les Feusselottes Premier Cru,92,72.0,86.39999999999999
Portugal,Gerações Colheita Seleccionada,92,34.0,40.8
France,Les Grands Nots Millesimé Brut,92,,
US,Clone 6,92,130.0,156.0
US,La Castellana,92,88.0,105.6
France,,92,65.0,78.0
France,Grand Cru Family Reserve Brut,92,,
Italy,Riserva,87,15.0,18.0
US,Stella Mae,87,45.0,54.0
Italy,Costera,87,18.0,21.599999999999998
US,Ocean's Ghost,87,60.0,72.0
South Africa,,87,12.0,14.399999999999999
South Africa,Petit,87,12.0,14.399999999999999
France,,87,13.0,15.6
US,L de Lyeth,87,13.0,15.6
Italy,Tovè,87,15.0,18.0
Italy,,87,18.0,21.599999999999998
Italy,,87,13.0,15.6
Spain,Reserva Brut,87,19.0,22.8
Austria,Kellermeister Privat Goldberg,87,18.0,21.599999999999998
US,,87,30.0,36.0
US,,87,35.0,42.0
US,,87,12.0,14.399999999999999
US,Battonage,87,18.0,21.599999999999998
Spain,Collection Blanco,87,25.0,30.0
US,Babcock Vineyard,87,30.0,36.0
US,Annabella,87,17.0,20.4
France,L'Esprit de Provence,87,20.0,24.0
Spain,Rosado,87,11.0,13.2
US,Silvaspoons Vineyard,87,15.0,18.0
Austria,Muscato,87,18.0,21.599999999999998
US,,87,19.0,22.8
France,Réserve Grand Veneur,87,15.0,18.0
Spain,,87,16.0,19.2
Italy,,87,12.0,14.399999999999999
US,Clifton Vineyard,87,28.0,33.6
US,,87,28.0,33.6
US,Quantum,91,65.0,78.0
US,Coastview Vineyard,91,48.0,57.599999999999994
France,Cuvée St Clément,91,70.0,84.0
France,B. Zéro Brut Dosage,91,59.0,70.8
US,El Adobo Ranch Vineyard,91,90.0,108.0
Chile,20 Barrels Limited Edition Peralillo Estate,91,35.0,42.0
US,Silver Eagle Vineyard,91,75.0,90.0
US,Soul Patch Estate Grown,91,55.0,66.0
US,Starr Ridge Vineyard,91,55.0,66.0
France,Le Clos l'Evêque Premier Cru,91,60.0,72.0
US,The Brat,91,36.0,43.199999999999996
US,Doux Sawyer Lindquist Vineyard,91,35.0,42.0
US,Sawyer Lindquist Vineyard,91,35.0,42.0
US,Sims Vineyard,91,55.0,66.0
US,Steve's Reserve,91,65.0,78.0
US,Wallula,91,35.0,42.0
US,Rincon Vineyard,91,49.0,58.8
US,Prince Hill Vineyard Reserve,91,55.0,66.0
Germany,Trocken,91,30.0,36.0
France,Brut Zéro Sélection,91,42.0,50.4
US,Bucher Vineyard,91,45.0,54.0
Chile,Cuvée Alexandre Apalta Vineyard Made With Organic Grapes,91,24.0,28.799999999999997
US,Blanc de Noir,91,50.0,60.0
US,Diversité,91,50.0,60.0
US,Équinoxe,91,50.0,60.0
US,Di Domenico,91,38.0,45.6
Germany,Trocken,91,22.0,26.4
US,,91,50.0,60.0
US,,91,110.0,132.0
US,Bradley Vineyard,91,45.0,54.0
US,Twin Creeks Estate,93,42.0,50.4
US,Bien Nacido Vineyard,93,60.0,72.0
US,Solomon Hills Vineyard,93,42.0,50.4
Italy,Praepositus Passito,93,30.0,36.0
US,Cañon Creek Vineyard,93,75.0,90.0
US,Reckoning,93,54.0,64.8
US,Les Sommets,93,85.0,102.0
US,Gap's Crown Vineyard,93,50.0,60.0
US,Stolpman Vineyard,93,150.0,180.0
US,Thomas Road,93,85.0,102.0
Italy,Resa 56,93,90.0,108.0
US,Estate Reserve,93,35.0,42.0
US,Pagani Ranch,93,46.0,55.199999999999996
France,,93,20.0,24.0
Argentina,Winemaker's Selection Reserva,93,42.0,50.4
France,Mas Negrel Cadenet,93,40.0,48.0
US,,93,75.0,90.0
Spain,Gran Resalte,93,88.0,105.6
US,Bien Nacido Vineyard,93,40.0,48.0
US,Enigma,93,25.0,30.0
US,Hail Mary,93,48.0,57.599999999999994
US,Headpruned Block,93,45.0,54.0
US,Durell Vineyard,93,50.0,60.0
US,,93,65.0,78.0
US,Rancho Santa Rosa Vineyard,93,48.0,57.599999999999994
US,Fire Light,93,62.0,74.39999999999999
US,Shapeshifter,93,100.0,120.0
US,If Six Was Nine Reserve,93,53.0,63.599999999999994
Argentina,Benegas Lynch La Encerrada Estate Vineyard,93,55.0,66.0
US,Reserve,93,70.0,84.0
US,La Reyna Blanca Vineyard,89,38.0,45.6
US,Art Den Hoed Vineyard,89,50.0,60.0
US,,89,25.0,30.0
Italy,,89,15.0,18.0
France,,89,14.0,16.8
France,Tradition,89,11.0,13.2
France,,89,14.0,16.8
France,Les Terrasses de Pressac,89,37.0,44.4
US,Pinot Noir,89,17.0,20.4
France,Château Jean de Bel Air,89,15.0,18.0
US,,89,13.0,15.6
US,,89,18.0,21.599999999999998
US,Orange Oak Ridge Vineyard,89,26.0,31.2
US,,89,18.0,21.599999999999998
US,Unfiltered Estate,89,32.0,38.4
Austria,,89,18.0,21.599999999999998
US,StevensSteel,89,25.0,30.0
Austria,Classic,89,18.0,21.599999999999998
Austria,Classic,89,20.0,24.0
US,,89,18.0,21.599999999999998
Austria,,89,,
US,,89,17.0,20.4
Austria,GV,89,13.0,15.6
US,Summit View Vineyard,89,41.0,49.199999999999996
Austria,,89,16.0,19.2
France,La Decelle,89,20.0,24.0
US,,89,30.0,36.0
Greece,,89,13.0,15.6
Austria,Furth-Palt,89,24.0,28.799999999999997
US,Starlight,89,36.0,43.199999999999996
US,,87,20.0,24.0
Italy,Le Marne,87,19.0,22.8
Mexico,Viña Kristel,87,15.0,18.0
US,,87,69.0,82.8
US,,87,36.0,43.199999999999996
Spain,Reserva 1423,87,35.0,42.0
Argentina,Gran Reserve Winemaker's Selection,87,30.0,36.0
US,Bomba,87,25.0,30.0
US,Steel-Ox,87,25.0,30.0
Portugal,Verdelho and Sauvignon Blanc,87,15.0,18.0
US,Estate,87,20.0,24.0
US,Charlotte's Home Estate,87,17.0,20.4
US,Toyon Farm,87,54.0,64.8
US,Caverio,87,40.0,48.0
Portugal,Paço de São Lourenço,87,12.0,14.399999999999999
Italy,,87,19.0,22.8
Argentina,,87,11.0,13.2
US,Dutton Ranch,87,45.0,54.0
Italy,Millesimato Extra Dry,87,25.0,30.0
US,Unfiltered,87,35.0,42.0
Italy,Brut,87,16.0,19.2
Italy,Dry,87,20.0,24.0
US,,87,28.0,33.6
US,Sidewinder,87,25.0,30.0
US,Black Mamba,87,28.0,33.6
US,Koos-Koos-Kia Colter's Creek Vineyard,87,20.0,24.0
Italy,,87,15.0,18.0
Italy,Memorio Creari,87,23.0,27.599999999999998
Italy,Sivoy,87,19.0,22.8
Australia,Alluvial Fans,92,35.0,42.0
US,Pinpoint Extreme,92,75.0,90.0
US,Aliette,92,48.0,57.599999999999994
France,Vendanges Tardives,92,54.0,64.8
France,Wineck-Schlossberg Grand Cru,92,34.0,40.8
Australia,,92,60.0,72.0
US,Tina's Block Maple Vineyard,92,48.0,57.599999999999994
Spain,Capellanía,92,28.0,33.6
Australia,The Factor,92,125.0,150.0
France,Altenberg de Bergheim Grand Cru,92,45.0,54.0
France,Kitterlé Grand Cru,92,36.0,43.199999999999996
France,Kessler Grand Cru,92,30.0,36.0
US,Tinaquaic Vineyard,92,37.0,44.4
US,,92,25.0,30.0
Portugal,Monte de Carrapatelo Colheita Seleccionada Tinto,92,30.0,36.0
US,,92,60.0,72.0
US,Estate Grown,92,40.0,48.0
US,Freedom Hill Vineyard,92,50.0,60.0
Portugal,Lagoalva Barrel Selection Tinto,92,23.0,27.599999999999998
Portugal,,92,80.0,96.0
Germany,Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage,92,34.0,40.8
US,Three Twins Vineyard Fallen Feather,92,75.0,90.0
Italy,,92,24.0,28.799999999999997
France,Pfersigberg Grand Cru,92,39.0,46.8
Australia,,92,21.0,25.2
US,,92,35.0,42.0
France,Rosacker Grand Cru,92,43.0,51.6
US,Lodi Native Marian's Vineyard,92,30.0,36.0
US,Nancy's,92,70.0,84.0
South Africa,Night Sky,92,50.0,60.0
US,,90,40.0,48.0
US,,90,45.0,54.0
US,Le Roi Soleil,90,80.0,96.0
US,,90,15.0,18.0
Italy,Ornato,90,65.0,78.0
US,Rockpile Vineyard,90,65.0,78.0
Italy,Siri d'Jermu,90,35.0,42.0
Italy,Costa Bruna,90,25.0,30.0
US,,90,20.0,24.0
Spain,Soplo,90,15.0,18.0
